Itemno,Whse,Bin,Onhand,Oncom,Aano
#43,1,X-CRT-FE,600,0,116159098
01-BM3SE9006F4,1,A24J6X,0,0,0
01-CASRX04C,X-W,X-STG,0,0,0
01-CASRX04C,1,A12A4X,1,1,0
01-FOMUS99CB,2,11R22B,5,0,0
01-HOACC06F4,1,A1423X,0,0,0
02-AZ-CO14-PBC-U,X-W,X-STG,1,1,0
02-AZ-CO14-PBC-U,1,A11I4X,1,0,0
02-AZ-CO14-PCC-U,X-W,X-STG,2,2,58875721
02-AZ-CO14-PCC-U,1,A11I5X,0,0,0
02-AZ-CO14-PCC-U,1,A11H5X,0,0,0
02-AZ-CO14-PCC-U,1,A11H4X,0,0,0
02-AZ-CO14-PCC-U,1,A11I4X,1,0,0
02-CHCAM16,1,A1122X,3,0,0
02-FF-CHC1088-C4,2,250B,1,0,0
02-FF-CHSIL99-F4,2,11R18B,5,0,0
02-FF-DORAM02-F4,2,08L24A,1,0,0
02-FF-GMYUK00-F6,2,250B,1,0,0
02-PUFF008-SB,2,12L20B,1,0,0
02-PUFF008-SB,2,12L19B,1,0,0
02-PUFF008-SB,2,12L23B,5,0,0
02-PUFF008-SB,2,08R21B,8,0,0
02A-CHAVA02-DGR,1,A1121X,28,0,0
02A-CHAVA02-LGR,1,A1123X,40,0,0
02A-CHAVA02-LGR,1,A1121X,51,0,0
02FF-CHC1088-BS-T,2,250B,1,0,105109916
02FFA-CHAVA03-BS,2,12L20C,1,0,0
02FFA-CHC1088-BS3,1,A17J4X,0,0,0
02FFA-CHCOL15-BS2-T,2,07R01B,1,0,0
02FFA-CHCOL15LB-BS,1,A05A3X,1,0,0
02FFA-CHCOL15LB-BS,1,A05B2X,5,0,0
02FFA-CHSIL07-BS3,2,250B,1,0,0
02FFA-CHSIL07-BS3,2,12L26B,1,0,0
02FFA-CHSIL07-BS3,2,12L25B,2,0,0
02FFA-CHSIL07LB,2,250B,1,0,0
02FFA-CHSIL14-BS3,2,08R21D,20,0,0
02FFA-CHSIL14A-BS3,2,08R21D,5,0,0
02FFA-CHSIL14A-BS3,2,08R17D,9,0,0
02FFA-CHSIL19-BS3,2,250B,4,0,0
02FFA-CHSIL19-BS3,2,11R16B,2,0,0
02FFA-CHSIL19-BS3,2,08R19B,5,0,98533832
02FFA-CHSIL2520,X-W,X-STG,0,0,0
02FFA-CHSIL2520,2,250B,6,0,30067436
02FFA-CHSIL2520,1,A35Q2X,1,0,0
02FFA-CHSIL2520,2,08L22A,1,0,37463327
02FFA-CHSIL2520,2,08R24C,2,2,106913216
02FFA-CHSIL2520,2,12L26B,2,0,102863496
02FFA-CHSIL2520,2,12L19B,3,0,112195263
02FFA-CHSIL99-BS,X-W,X-STG,2,2,0
02FFA-CHSIL99-BS,1,A35Q2X,2,0,0
02FFA-DORAM02-BS3,1,A05D4X,0,0,0
02FFA-DORAM06H-BS,2,250B,1,0,0
02FFA-DORAM06HA-BS2,X-W,X-STG,0,0,0
02FFA-DORAM06HA-BS2,2,12L26B,3,0,71681254
02FFA-DORAM10-BS3,1,A35Q2X,1,0,0
02FFA-FOF1504-BS3,2,08R14B,6,0,0
02FFA-FOF1509-BS-CR,1,A35R4X,0,0,0
02FFA-FOF1515-BS3,2,250B,7,0,0
02FFA-FOF2517-BS3,X-W,X-STG,0,0,0
02FFA-FOF2517-BS3,2,250B,3,0,85070988
02FFA-FOF2517-BS3,2,08R22D,9,1,11304574
02FFA-FORAN11T6-BS,X-W,X-STG,0,0,0
02FFA-FORAN11T6-BS,1,A35R3X,2,0,0
02FFA-FORAN11T6-BS,1,A35P2X,4,1,0
02FFA-GMSIE07A-BS,1,A35H4X,3,0,0
02FFA-GMSIE07A-BS,1,A35L2X,4,0,0
02FFA-GMSIE11H-BS,1,A35M2X,4,0,0
02FFA-GMSIE11H-BS,1,A35K3X,11,0,0
02FFA-GMSIE14-BS,2,12L21B,1,0,41568529
02FFA-GMSIE14-BS2,X-W,X-STG,1,0,0
02FFA-GMSIE14-BS2,2,250B,2,0,0
02FFA-GMSIE16-BS-T,1,A17J2X,5,0,0
02FFA-GMSIE16H-BST,X-W,X-STG,1,1,0
02FFA-GMSIE16H-BST,1,A35O2X,2,0,0
02FFA-GMSIE16H-BST,1,A35I4X,3,0,0
02FFA-GMSUE07SB-BS3,2,08L23A,1,0,0
02FFA-NIR05S-BS-T,1,A35O3X,3,0,0
02FFA-NIR05S-BS-T,1,A35M2X,5,0,0
