Itemno,Total Sale,Total Return,Percentage
LB3-SBRZ22V-SM,20,336,1680.00%
CB-A012811,1,4,400.00%
CB-A012810,1,3,300.00%
CB-A013542,1,2,200.00%
AST-FM05OE-U3,1,2,200.00%
CB-A013356,1,2,200.00%
CB-A013132,1,2,200.00%
AST-BG82M4-A,3,3,100.00%
BKP-CC10ZL1-WA9260,3,3,100.00%
CB-A010343,2,2,100.00%
CB-A013165,2,2,100.00%
CB-A013144,2,2,100.00%
13-XP950-1,2,2,100.00%
CB-A013688,2,2,100.00%
AST-SBWRX22FKTR-M6Y,2,2,100.00%
BLF-BF30MTVR-475,2,2,100.00%
RM-04PBK-WB,2,2,100.00%
CB-A011015,1,1,100.00%
9-R-0083-526,1,1,100.00%
CB-A012327,1,1,100.00%
CB-A010308,1,1,100.00%
CB-A008315,1,1,100.00%
2-LPH-SL,1,1,100.00%
HT-02ARA4501ASL,1,1,100.00%
BLF-HC99TR-G95P,1,1,100.00%
CUT 71IN FOR PRELUDE,1,1,100.00%
9-T-0208-526,1,1,100.00%
AST-ML08D-U17,1,1,100.00%
CB-A012134,1,1,100.00%
CB-A012572,1,1,100.00%
CB-A000851,1,1,100.00%
SW-FCS20-CFPFL-RD-RD,1,1,100.00%
BKP-FM15GT500-F-YZ,1,1,100.00%
CB-A011152,1,1,100.00%
AST-DCHALL15OEH-PVB,1,1,100.00%
AST-DC15SRT-PS2,1,1,100.00%
9-R-0068,1,1,100.00%
CB-A013670,1,1,100.00%
BLF-BE92M-PP-A53,1,1,100.00%
CB-A013161,1,1,100.00%
R-011890351014VCVCCH,1,1,100.00%
AST-DCHALL15HC-PR3,1,1,100.00%
2-THR-TYLXV2,1,1,100.00%
9-R-0055,1,1,100.00%
BLF-TY8617TRD-PP-G1U,1,1,100.00%
CB-A013606,1,1,100.00%
AST-HYSO15OE-A,1,1,100.00%
CB-A011880,1,1,100.00%
12-HD050-B2B,1,1,100.00%
3-WQ-JP-001L,1,1,100.00%
BLF-BE63M62P-A35,1,1,100.00%
AST-FM18TP-M7188A,1,1,100.00%
CB-A012236,1,1,100.00%
CB-A012269,1,1,100.00%
BLF-BG11LCIIK-A96,1,1,100.00%
CB-A005251,1,1,100.00%
BLF-HC175IK3P-NH830M,1,1,100.00%
CB-A012288,1,1,100.00%
CB-A012174,1,1,100.00%
9-R-1140,1,1,100.00%
02-AZ-CO14-PCC-U,1,1,100.00%
BLD-BG87MPV1-DCF,1,1,100.00%
9-R-0155,1,1,100.00%
BLF-BF8XMP1P-GBK,1,1,100.00%
BLR-NM19APR2P-PU,1,1,100.00%
CB-A000930,1,1,100.00%
CB-A009952,1,1,100.00%
9-T-0255-416,1,1,100.00%
R-011995401014VCVCCH,1,1,100.00%
CB-A013525,1,1,100.00%
9-R-1367,1,1,100.00%
AST-FM15GT350V2-G9,1,1,100.00%
CB-A013166,1,1,100.00%
CB-A010788,1,1,100.00%
CB-A012024,1,1,100.00%
BLF-BF8XMP2P-CF,1,1,100.00%
AST-TSL318OE-PMBL,1,1,100.00%
BKP-FM18GT500-F-E7,1,1,100.00%
AST-HC164OELE-NH797M,1,1,100.00%
AST-DCHALL19RE-PVP,1,1,100.00%
