Itemno,Desc1,Desc2,Adino,Clength,Cwidth,Ulength,Uwidth,Uheight,Onhand,Oncom,Onord,Bin,Ww,Wm,En,Es,All_West,All_East,All,Ww/All %,Wm/All %,En/All %,Es/All %,All_West/All %,All_East/All %,CA1,GA2,FBA
WDM-HC064,WD for 06-11 HD Civic 4Dr Mugen sty 4pc,#94944-M,#94944-M,47.00,7.00,49.00,5.00,5.00,336,2,0,PREP1,497,100,515,370,597,885,1590,31.26%,6.29%,32.39%,23.27%,37.55%,55.66%,372,6,86
CP130BK,13-17 Honda Accord Sedan,blk floor mat,CP130BK,34.00,24.00,21.00,11.00,7.00,196,0,500,A08K2X,753,101,279,266,854,545,1450,51.93%,6.97%,19.24%,18.34%,58.90%,37.59%,51,110,32
WD-CSV99CC,window visor for 2001-2007 Chevy Silvera,do (Crew Cab Pickup) 4Pc  AVS#94355,WD-CSV99CC,42.00,20.00,37.00,4.00,2.00,278,0,300,A13F2X,226,240,393,501,466,894,1425,15.86%,16.84%,27.58%,35.16%,32.70%,62.74%,486,0,87
CP030BK,06-11 Honda Civic 2-4Dr Floor Mat - BLK,,,34.00,24.00,32.00,15.00,8.00,190,0,604,A08M1X,866,69,211,119,935,330,1326,65.31%,5.20%,15.91%,8.97%,70.51%,24.89%,274,20,21
WD-GMCCK,88-98 Cv-Gmc Blazer C-K -Tahoe-Yukon SM,K Slim Window Visor,WD-GMCCK,42.00,20.00,41.00,8.00,2.00,-7,1,550,PREP4,167,234,350,481,401,831,1271,13.14%,18.41%,27.54%,37.84%,31.55%,65.38%,11,21,36
BLF-HC99MU-PP,99-00 HOND Civic MU PP Front Lip #NA,MUGEN - Unpainted Black,DP8314-CV99FL,75.00,37.00,68.00,14.00,5.00,99,3,100,A20L1X,339,161,313,364,500,677,1193,28.42%,13.50%,26.24%,30.51%,41.91%,56.75%,161,47,0
BLF-HC99TR-PP,99-00 HOND Civic TR PP Front Lip #NA,Type-R - Unpainted Black,DP8313-CV99FL,75.00,37.00,56.00,23.00,4.00,92,5,50,A30B3D,310,112,341,369,422,710,1177,26.34%,9.52%,28.97%,31.35%,35.85%,60.32%,97,47,0
WD-SI08,08-11 Subaru Impreza  08-14 WRX 4Dr-5Dr,Window visors 4PCS,WD-SI08,42.00,20.00,39.00,4.00,2.00,-23,3,350,A13D2X,255,124,471,132,379,603,1103,23.12%,11.24%,42.70%,11.97%,34.36%,54.67%,23,71,3
WD-JW074,07-23 Jeep Wrangler Unlim 20-23 Gladiato,4-Door Window Visor 4Pc,WD-JW074,42.00,20.00,34.00,4.00,2.00,80,7,250,A13F1X,134,138,402,414,272,816,1097,12.22%,12.58%,36.65%,37.74%,24.79%,74.38%,69,74,0
WD-HC064,Window visor for HD Civic 06-11,Slim Style #94944,94944,42.00,20.00,44.00,4.00,2.00,202,3,360,A13E1X,263,109,409,282,372,691,1084,24.26%,10.06%,37.73%,26.01%,34.32%,63.75%,155,0,92
